2025-03-20 23:43:07,050 [INFO]  20 f
2025-03-21 20:36:29,333 [INFO]  30 <PyQt6.QtWidgets.QWidget object at 0x778756002e90>
2025-03-21 20:37:12,885 [INFO]  30 False
2025-03-21 20:37:15,485 [INFO]  30 True
2025-03-21 21:10:31,857 [INFO]  30 True
2025-03-21 21:22:26,065 [INFO]  42 Москва, 1
2025-03-21 21:22:28,321 [INFO]  42 Москва, 1
2025-03-21 21:22:30,089 [INFO]  42 Москва, 1
2025-03-21 21:22:32,321 [INFO]  42 Москва, 1
2025-03-21 21:22:32,929 [INFO]  42 Москва, 1
2025-03-21 21:24:22,463 [INFO]  42 lol Москва, 1
2025-03-21 21:24:44,831 [INFO]  42 lol Париж, 1
2025-03-21 21:24:49,031 [INFO]  42 lol Париж, 10
2025-03-21 21:24:50,727 [INFO]  42 lol Париж, 1
2025-03-21 21:25:49,350 [INFO]  42 lol Москва, 1
2025-03-21 21:26:43,653 [INFO]  42 lol Москва, 1
2025-03-21 21:27:35,845 [INFO]  42 lol Москва, 1
2025-03-21 21:41:05,723 [INFO]  51 lol Москва, 1
2025-03-21 21:44:46,176 [INFO]  51 lol Москва, 1
2025-03-21 21:46:23,500 [INFO]  50 lol Москва, 1
2025-03-21 21:52:38,090 [INFO]  50 lol Москва, 1
2025-03-21 21:53:06,593 [INFO]  50 lol Москва, 1
2025-03-21 21:53:33,592 [INFO]  50 lol Москва, 1
2025-03-21 21:58:23,210 [INFO]  51 lol Москва, 1
2025-03-21 21:59:23,201 [INFO]  51 lol Москва, 1
2025-03-21 21:59:29,673 [INFO]  51 lol Москва, 100
2025-03-21 21:59:33,401 [INFO]  51 lol Париж, 100
2025-03-21 21:59:38,529 [INFO]  51 lol Тула, 100
2025-03-21 21:59:41,697 [INFO]  51 lol Лондон, 100
2025-03-21 21:59:48,408 [INFO]  51 lol Лондон, 1000
2025-03-21 21:59:53,352 [INFO]  51 lol Лондон, 10
